,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
казанский,0.00217,0.00185,0.00272,0.007,0.00767,0.00773,0.01917,0.00447,0.00476,0.00506,0.00285,0.00472,0.00593,0.00372,0.00457,0.00392,0.00651,0.01969,0.00719,0.00991,0.00884,0.01226,0.00444,0.00979,0.00185,0.00515,0.00775,0.007,0.01208,0.0048,0.00388,0.00934,0.00969,0.00753,0.00185,0.00497,0.00865,0.00642,0.00429,0.0047,0.00625,0.00572,0.00506,0.00908,0.00569,0.00754,0.00542,0.00518,0.00681,0.00854,0.00584,0.00754,0.00495,0.0043,0.00181,0.00865,0.00389,0.0036,0.00335,0.00228,0.0024,0.00376,0.00301,0.00101,0.00362,0.00274,0.00243,0.0024,0.00203,0.00169,0.00243,0.00307,0.00219,0.00244,0.00359,0.00181,0.00253,0.00169,0.01203,0.00154,0.00182,0.00182,0.00174,0.0027,0.00216,0.00097,0.0015,0.0017,0.00163,0.00217,0.00305,0.00211,0.00162,0.0017,0.00198,0.00117,0.00162,0.00243,0.00192,0.00229
приволжский,0.00072,0.0,0.00136,0.002,0.00341,0.01159,0.00333,0.00255,0.0019,0.00202,0.00081,0.00189,0.00198,0.00186,0.004,0.00157,0.00407,0.01575,0.00387,0.0036,0.00161,0.00123,0.00178,0.00218,0.0,0.00206,0.00517,0.002,0.00201,0.00137,0.00097,0.00093,0.0,0.00215,0.0,0.0,0.00157,0.00535,0.00172,0.00188,0.00156,0.00191,0.00169,0.00182,0.0019,0.00251,0.00181,0.00207,0.00292,0.0038,0.00195,0.00251,0.0,0.0,0.0,0.0,0.0,0.00074,0.0,0.0,0.0,0.00063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00068,0.0,0.0,0.0,0.0,0.0012,0.0,0.00063,0.0,0.01156,0.0,0.0,0.0,0.0,0.00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.00049,0.0,0.0
федеральный,0.00145,0.00231,0.00204,0.006,0.00682,0.01777,0.00833,0.00383,0.00381,0.00404,0.00244,0.00377,0.00593,0.00433,0.00628,0.00313,0.00896,0.02047,0.00608,0.00541,0.00562,0.00981,0.00356,0.00762,0.00231,0.00722,0.00947,0.006,0.00504,0.0048,0.00226,0.00467,0.00264,0.0043,0.00231,0.00199,0.00708,0.00749,0.00343,0.00376,0.00391,0.00572,0.00337,0.00545,0.00474,0.00587,0.00452,0.00518,0.00584,0.00759,0.00389,0.00587,0.0033,0.00307,0.00633,0.00648,0.00195,0.00445,0.00168,0.00304,0.0032,0.00627,0.00376,0.00201,0.00289,0.00274,0.00324,0.0032,0.00541,0.00575,0.00324,0.00384,0.00292,0.00487,0.00478,0.00483,0.0038,0.00226,0.01218,0.00205,0.00243,0.00243,0.00231,0.00405,0.00288,0.00129,0.002,0.00227,0.00218,0.0029,0.00305,0.00351,0.00216,0.00227,0.00264,0.0055,0.00216,0.00341,0.00256,0.00305
университет,0.01084,0.00416,0.00815,0.015,0.0162,0.02164,0.03667,0.01021,0.01238,0.01213,0.00611,0.01509,0.02077,0.00805,0.00857,0.01175,0.01221,0.0252,0.0083,0.01171,0.01687,0.02023,0.01067,0.02285,0.00416,0.01237,0.01378,0.015,0.02316,0.0096,0.00614,0.01214,0.01145,0.01398,0.00416,0.00596,0.01338,0.01499,0.01029,0.01128,0.01328,0.0143,0.01265,0.01544,0.01327,0.01509,0.01085,0.01242,0.01362,0.01328,0.03891,0.01509,0.00578,0.00491,0.00181,0.01225,0.00389,0.00064,0.00335,0.00456,0.0048,0.00752,0.00527,0.00201,0.00434,0.00412,0.00486,0.0048,0.00406,0.00372,0.00486,0.00537,0.00438,0.00487,0.00717,0.00362,0.00443,0.00338,0.0125,0.00307,0.00364,0.00364,0.00347,0.0054,0.00432,0.00194,0.00299,0.0034,0.00327,0.00435,0.00534,0.00422,0.00323,0.00341,0.00397,0.00517,0.00324,0.00389,0.00385,0.00457
официальный,0.00072,0.0,0.00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00094,0.00297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172,0.0,0.0,0.0,0.0,0.0,0.00088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,0.0,0.0,0.0,0.00095,0.00097,0.00084,0.00083,0.0,0.00045,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.00195,0.0,0.0
сайт,0.00072,0.00416,0.00272,0.004,0.00171,0.00155,0.00167,0.00128,0.0019,0.00303,0.00122,0.00283,0.00297,0.00124,0.00114,0.00157,0.00163,0.00157,0.00111,0.0018,0.00161,0.00123,0.00178,0.00218,0.00416,0.00206,0.00345,0.004,0.00403,0.00137,0.00065,0.00093,0.00264,0.00215,0.00416,0.0,0.00157,0.00321,0.00257,0.00188,0.00156,0.00191,0.00253,0.00182,0.0019,0.00168,0.00181,0.00207,0.00195,0.00474,0.00292,0.00168,0.00248,0.00184,0.00136,0.00216,0.00292,0.00032,0.00251,0.00759,0.00721,0.00564,0.00677,0.00302,0.00868,0.00617,0.00729,0.00719,0.00609,0.0044,0.00729,0.00691,0.00656,0.00731,0.00538,0.00543,0.0057,0.00508,0.00141,0.00461,0.00546,0.00546,0.00521,0.00608,0.00648,0.00291,0.00449,0.0051,0.0049,0.00652,0.00686,0.00632,0.00485,0.00511,0.00595,0.00283,0.00486,0.00487,0.00577,0.00686
год,0.0065,0.0,0.00136,0.005,0.00341,0.00386,0.01917,0.00255,0.00381,0.00404,0.00692,0.00472,0.00692,0.00248,0.00228,0.00705,0.00489,0.00787,0.00277,0.01261,0.00321,0.00674,0.00356,0.00871,0.0,0.00412,0.00345,0.005,0.00906,0.00411,0.01422,0.0056,0.00705,0.01505,0.0,0.00099,0.00944,0.01071,0.00515,0.01128,0.01094,0.00858,0.00759,0.00817,0.00474,0.00671,0.00633,0.00621,0.00973,0.00569,0.01848,0.00671,0.0033,0.01167,0.00633,0.00793,0.00195,0.00117,0.00084,0.0,0.0,0.00313,0.00376,0.00201,0.0,0.0,0.0,0.0,0.00068,0.00034,0.0,0.0,0.00073,0.0,0.00179,0.0006,0.00063,0.0,0.0,0.00512,0.0,0.0,0.0,0.0054,0.0,0.0,0.00499,0.0,0.0,0.0,0.0,0.00141,0.0,0.0,0.0,0.002,0.0,0.00633,0.0,0.00229
цифровизация,0.00145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,0.0,0.0,0.0,0.0,0.0,0.00084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
личный,0.00289,0.00046,0.00136,0.003,0.00085,0.00077,0.00083,0.00064,0.00095,0.00101,0.00041,0.00094,0.00099,0.00062,0.00057,0.00078,0.00081,0.00079,0.00055,0.0009,0.0008,0.00061,0.00089,0.00218,0.00046,0.00103,0.00086,0.003,0.00101,0.00069,0.00032,0.00093,0.00088,0.00215,0.00046,0.0,0.00079,0.00107,0.00086,0.00094,0.00156,0.00095,0.00084,0.00091,0.0019,0.00084,0.0009,0.00104,0.00097,0.00095,0.00097,0.00084,0.00083,0.00184,0.00045,0.00072,0.00097,0.00021,0.00251,0.00152,0.0016,0.00125,0.0015,0.00269,0.00145,0.00137,0.00162,0.0016,0.00135,0.00068,0.00162,0.00153,0.00146,0.00162,0.0012,0.00121,0.00127,0.00113,0.00016,0.00102,0.00121,0.00121,0.00116,0.00135,0.00288,0.00065,0.001,0.00113,0.00109,0.0029,0.00153,0.00141,0.00108,0.00114,0.00198,0.00117,0.00108,0.00097,0.00128,0.00152
кабинет,0.00217,0.00046,0.00136,0.001,0.00085,0.00077,0.00083,0.00064,0.00095,0.00202,0.00041,0.00094,0.00099,0.00062,0.00057,0.00078,0.00081,0.00079,0.00055,0.0009,0.0008,0.00061,0.00089,0.00218,0.00046,0.00103,0.00086,0.001,0.00101,0.00069,0.00032,0.00093,0.00176,0.00108,0.00046,0.0,0.00079,0.00214,0.00172,0.00094,0.00156,0.00095,0.00084,0.00091,0.00095,0.00084,0.0009,0.00104,0.00097,0.00095,0.00097,0.00084,0.00083,0.00123,0.00045,0.00144,0.00097,0.00021,0.00084,0.00152,0.0016,0.00125,0.0015,0.00235,0.00145,0.00137,0.00162,0.0016,0.00135,0.00068,0.00162,0.00153,0.00146,0.00162,0.0012,0.00121,0.00127,0.00113,0.00016,0.00102,0.00121,0.00121,0.00116,0.00135,0.00288,0.00065,0.001,0.00113,0.00109,0.0029,0.00153,0.00141,0.00108,0.00114,0.00132,0.0005,0.00108,0.00097,0.00128,0.00152
